Alcohol,Malic_Acid,Ash,Ash_Alcanity,Magnesium,Total_Phenols,Flavanoids,Nonflavanoid_Phenols,Proanthocyanins,Color_Intensity,Hue,OD280,Proline,Customer_Segment
4.23,0.7,2.43,5.6,27,2.8,3.06,0.28,2.29,5.64,0.04,3.92,65,0
3.2,0.78,2.04,0.2,0,2.65,2.76,0.26,0.28,4.38,0.05,3.4,50,0
3.06,2.36,2.67,8.6,0,2.8,3.24,0.3,2.8,5.68,0.03,3.07,85,0
4.37,0.95,2.5,6.8,3,3.85,3.49,0.24,2.08,7.8,0.86,3.45,480,0
3.24,2.59,2.87,20.0,8,2.8,2.69,0.39,0.82,4.32,0.04,2.93,735,0
4.2,0.76,2.45,5.2,2,3.27,3.39,0.34,0.97,6.75,0.05,2.85,450,0
4.39,0.87,2.45,4.6,96,2.5,2.52,0.3,0.98,5.25,0.02,3.58,290,0
4.06,2.05,2.6,7.6,20,2.6,2.5,0.3,0.25,5.05,0.06,3.58,295,0
4.83,0.64,2.07,4.0,97,2.8,2.98,0.29,0.98,5.2,0.08,2.85,45,0
3.86,0.35,2.27,6.0,98,2.98,3.05,0.22,0.85,7.22,0.0,3.55,45,0
4.0,2.06,2.3,8.0,5,2.95,3.32,0.22,2.38,5.75,0.25,3.07,500,0
4.02,0.48,2.32,6.8,95,2.2,2.43,0.26,0.57,5.0,0.07,2.82,280,0
3.75,0.73,2.4,6.0,89,2.6,2.76,0.29,0.8,5.6,0.05,2.9,320,0
4.75,0.73,2.39,0.4,90,3.0,3.69,0.43,2.8,5.4,0.25,2.73,50,0
4.38,0.87,2.38,2.0,2,3.3,3.64,0.29,2.96,7.5,0.2,3.0,547,0
3.63,0.8,2.7,7.2,2,2.85,2.9,0.3,0.46,7.3,0.28,2.88,300,0
4.3,0.92,2.72,20.0,20,2.8,3.04,0.33,0.97,6.2,0.07,2.65,280,0
3.83,0.57,2.62,20.0,5,2.95,3.4,0.4,0.72,6.6,0.03,2.57,30,0
4.09,0.59,2.48,6.5,8,3.3,3.93,0.32,0.86,8.7,0.23,2.82,680,0
3.64,3.0,2.56,5.2,6,2.7,3.03,0.07,0.66,5.0,0.96,3.36,845,0
4.06,0.63,2.28,6.0,26,3.0,3.07,0.24,2.0,5.65,0.09,3.7,780,0
2.93,3.8,2.65,8.6,2,2.4,2.4,0.25,0.98,4.5,0.03,3.52,770,0
3.7,0.86,2.36,6.6,0,2.6,2.88,0.27,0.69,3.8,0.0,4.0,35,0
2.85,0.6,2.52,7.8,95,2.48,2.37,0.26,0.46,3.93,0.09,3.63,5,0
3.5,0.8,2.6,20.0,96,2.53,2.6,0.28,0.66,3.52,0.02,3.82,845,0
3.05,2.05,3.22,25.0,24,2.63,2.68,0.47,0.92,3.58,0.03,3.2,830,0
3.39,0.77,2.62,6.0,93,2.85,2.94,0.34,0.45,4.8,0.92,3.22,95,0
3.3,0.72,2.04,7.0,94,2.4,2.09,0.27,0.35,3.95,0.02,2.77,285,0
3.87,0.9,2.8,9.4,7,2.95,2.97,0.37,0.76,4.5,0.25,3.4,905,0
4.02,0.68,2.2,6.0,96,2.65,2.33,0.26,0.98,4.7,0.04,3.59,35,0
3.73,0.5,2.7,22.5,0,3.0,3.25,0.29,2.38,5.7,0.09,2.7,285,0
3.58,0.66,2.36,9.0,6,2.86,3.09,0.22,0.95,6.9,0.09,2.88,505,0
3.68,0.83,2.36,7.2,4,2.42,2.69,0.42,0.97,3.84,0.23,2.87,990,0
3.76,0.53,2.7,9.5,32,2.95,2.74,0.5,0.35,5.4,0.25,3.0,235,0
3.5,0.8,2.65,9.0,0,2.35,2.53,0.29,0.54,4.2,0.0,2.87,95,0
3.48,0.8,2.4,20.5,0,2.7,2.98,0.26,0.86,5.0,0.04,3.47,920,0
3.28,0.64,2.84,5.5,0,2.6,2.68,0.34,0.36,4.6,0.09,2.78,880,0
3.05,0.65,2.55,8.0,98,2.45,2.43,0.29,0.44,4.25,0.02,2.5,5,0
